leg	[ leg ]	нога
bend	[ bend ]	гнуться, изгибаться
clamp	[ kl?mp ]	складывать, скреплять (не brace)
wood	[ wud ]	лес, древесина, дрова
outlet	[ 'autlet ]	выход, выходное отверстие
saw	[ s?: ]	видел, смотрел (от see)
brace	[ breis ]	связывать, скреплять (не clamp)
mallet	[ 'm?lit ]	деревянный молоток
hammer	[ 'h?m? ]	молоток
hook	[ huk ]	крючок
hatchet	[ 'h??it ]	топор(ик)
chisel	[ '?izl ]	резец, ваять, высекать
level	[ levl ]	уровень
bolt	[ b??lt ]	молния
screw	[ skru: ]	привинчивать, завинчивать, принуждать, винт
nut	[ n?t ]	орех
fee	[ fi: ]	гонорар, платить гонорар
salary	[ 's?l?ri ]	оклад
duration	[ dju?'rei??n ]	продолжительность
responsibility	[ ris,p?ns?'biliti ]	ответственность
bathroom	[ 'b?:?rum ]	ванная комната
toilet	[ 't?ilit ]	туалет
kitchen	[ 'ki?in ]	кухня
bookshelf	[ 'buk?elf ]	книжная полка
dish	[ di? ]	блюдо
law	[ l?: ]	закон, право
bat	[ b?t ]	бить
pony	[ 'p?uni ]	пони
horse	[ h?:s ]	лошадь
foal	[ f?ul ]	жеребенок
lamb	[ l?m ]	ягненок, баранина
hog	[ h?g ]	свинья, боров
bull	[ bul ]	бык
reed	[ ri:d ]	тростник, камыш (не cane)
target	[ 't?:git ]	задание
lobster	[ 'l?bst? ]	омар
starling	[ 'st?:li? ]	скворец
cuckoo	[ n'kuku: ]	кукушка
finger	[ 'fi?g? ]	палец
gum	[ g?m ]	"смола, клей; склеивать(ся) (не tar)"
thumb	[ ??m ]	большой палец (руки)
index	[ 'indeks ]	индекс, указатель, показатель
notebook	[ 'n?utbuk ]	тетрадь
pencil	[ 'pensil ]	карандаш
ruler	[ 'ru:l? ]	линейка, правитель
bell	[ bel ]	звонок
chalk	[ ??:k ]	мел
compass	[ 'k?mp?s ]	"объем, диапазон; компас; циркуль"
glue	[ glu: ]	"клей; клеить, приклеивать"
paper	[ 'peip? ]	бумага, газета
complicated	[ 'k?mplikeitid ]	сложный
flu	[ flu: ]	грипп
stroke	[ str?uk ]	удар, гладить
tall	[ t?:l ]	невероятный, высокий
short	[ ??:t ]	короткий, слабый, внезапно
slim	[ slim ]	стройный
thin	[ ?in ]	тонкий, худощавый
fat	[ f?t ]	жирный
bold	[ b?uld ]	смелый (не dare)
moustache	[ m?s't?:? ]	усы
handsome	[ 'h?nds?m ]	красивый
swift	[ swift ]	быстрый (не speed)
fracture	[ 'fr?k?? ]	"перелом, излом; ломать"
cold	[ k?uld ]	холод, холодный
sneeze	[ sni:z ]	чихать, чиханье
toes	[ tu:z ]	пальцы ноги(носки) (TR!)
stuff	[ 'st?f ]	вещество, материал, заполнять, набивать
learned	[ 'l?:nt ]	ученый
box	[ b?ks ]	ящик, коробка, ложа (театр.)
